coin,entry_time,exit_time,entry_price,exit_price,position_size,price_return,gross_pnl,fees,net_pnl,bankroll_after,trade_number
DOGEUSDC,2025-01-17 07:00:00+00:00,2025-01-17 08:00:00+00:00,0.38656,0.41454,25.0,0.07238203642384107,1.8095509105960268,0.051809550910596025,1.7577413596854308,61.71967725648644,33
DOGEUSDC,2025-01-18 05:00:00+00:00,2025-01-18 06:00:00+00:00,0.40224,0.40025,25.0,-0.004947295147175795,-0.12368237867939487,0.04987631762132061,-0.17355869630071546,61.546118560185725,34
DOGEUSDC,2025-01-19 11:00:00+00:00,2025-01-19 12:00:00+00:00,0.36993,0.37345,25.0,0.009515313707998874,0.23788284269997184,0.05023788284269998,0.18764495985727186,61.733763520043,35
DOGEUSDC,2025-02-03 01:00:00+00:00,2025-02-03 02:00:00+00:00,0.25452,0.22795,25.0,-0.10439258211535442,-2.6098145528838606,0.04739018544711614,-2.6572047383309765,59.07655878171202,36
DOGEUSDC,2025-02-03 02:00:00+00:00,2025-02-03 03:00:00+00:00,0.22909,0.23399,25.0,0.02138897376576898,0.5347243441442245,0.05053472434414423,0.4841896198000803,59.5607484015121,37
DOGEUSDC,2025-02-03 04:00:00+00:00,2025-02-03 05:00:00+00:00,0.23406,0.23747,25.0,0.014568913953687073,0.3642228488421768,0.05036422284884218,0.31385862599333464,59.874607027505434,38
DOGEUSDC,2025-02-03 06:00:00+00:00,2025-02-03 07:00:00+00:00,0.23736,0.25606,25.0,0.07878328277721613,1.9695820694304034,0.051969582069430406,1.917612487360973,61.7922195148664,39
DOGEUSDC,2025-02-03 09:00:00+00:00,2025-02-03 10:00:00+00:00,0.24908,0.26198,25.0,0.05179058936887745,1.2947647342219362,0.05129476473422194,1.2434699694877143,63.035689484354116,40
DOGEUSDC,2025-02-03 12:00:00+00:00,2025-02-03 13:00:00+00:00,0.25423,0.25071,25.0,-0.013845730244267093,-0.34614325610667734,0.049653856743893325,-0.3957971128505707,62.63989237150354,41
DOGEUSDC,2025-02-03 13:00:00+00:00,2025-02-03 14:00:00+00:00,0.25153,0.25916,25.0,0.030334353755019385,0.7583588438754846,0.05075835884387549,0.7076004850316091,63.347492856535155,42
DOGEUSDC,2025-02-03 14:00:00+00:00,2025-02-03 15:00:00+00:00,0.25088,0.26877,25.0,0.07130899234693884,1.782724808673471,0.05178272480867347,1.7309420838647975,65.07843494039996,43
DOGEUSDC,2025-02-03 18:00:00+00:00,2025-02-03 19:00:00+00:00,0.27149,0.28725,25.0,0.058050020258573046,1.4512505064643262,0.051451250506464326,1.3997992559578618,66.47823419635782,44
DOGEUSDC,2025-02-03 20:00:00+00:00,2025-02-03 21:00:00+00:00,0.28725,0.28669,25.0,-0.0019495213228894863,-0.048738033072237154,0.049951261966927764,-0.09868929503916492,66.37954490131865,45
DOGEUSDC,2025-03-07 00:00:00+00:00,2025-03-07 01:00:00+00:00,0.2015,0.19756,25.0,-0.019553349875930517,-0.4888337468982629,0.04951116625310174,-0.5383449131513647,65.84119998816729,46
DOGEUSDC,2025-03-10 18:00:00+00:00,2025-03-10 19:00:00+00:00,0.1579,0.15733,25.0,-0.0036098796706777385,-0.09024699176694347,0.049909753008233054,-0.14015674477517653,65.7010432433921,47
DOGEUSDC,2025-03-11 00:00:00+00:00,2025-03-11 01:00:00+00:00,0.15402,0.15306,25.0,-0.006232956758862412,-0.15582391897156028,0.04984417608102844,-0.2056680950525887,65.49537514833952,48
DOGEUSDC,2025-03-11 14:00:00+00:00,2025-03-11 15:00:00+00:00,0.15903,0.16111,25.0,0.013079293215116635,0.32698233037791585,0.05032698233037792,0.27665534804753794,65.77203049638706,49
DOGEUSDC,2025-03-11 17:00:00+00:00,2025-03-11 18:00:00+00:00,0.16281,0.16706,25.0,0.026104047662919818,0.6526011915729955,0.050652601191573,0.6019485903814225,66.37397908676849,50
DOGEUSDC,2025-03-26 06:00:00+00:00,2025-03-26 07:00:00+00:00,0.19291,0.20132,25.0,0.04359545902234203,1.0898864755585507,0.05108988647555855,1.0387965890829922,67.41277567585148,51
DOGEUSDC,2025-04-07 12:00:00+00:00,2025-04-07 13:00:00+00:00,0.13813,0.14609,25.0,0.05762687323535796,1.440671830883949,0.05144067183088395,1.389231159053065,68.80200683490455,52
